title,body,money_required,city,all_tags,image,money_rasied,username
leave money envelops in library,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,100,Vancouver,"library, gift",,92,david_chan
create $100 geocache reward,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,100,Vancouver,"geocache, reward",,99,ben_jargon
Give out 100 loonies to strangers on Robson St,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,100,Vancouver,"loonies, strangers",,91,baller
buy homeless person a nice meal,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,25,Vancouver,"dinner, homeless",,18,pizzaGuy
plant a tree in Dude Chilling Park,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,30,Vancouver,"tree, dude chilling park",,28,santaMan
bring dogs to seniors home,Straightnin' the curves. Flatnin' the hills Someday the mountain might get ‘em but the law never will. Were gonna do it. Give us any chance well take it. Give us any rule we'll break it. We're gonna make our dreams come true.,25,Victoria,"seniors, dogs",,23,pichaPicha
design and post messages around city,Come and play. Everything's A-OK. Friendly neighbors there that's where we meet. Can you tell me how to get how to get to Sesame Street. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant!,50,Vancouver,"art, guerrilla art",,45,willy
create library on my block,Rockin' and rollin' all week long. They were four men living all together yet they were all alone. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant. Sunny Days sweepin' the clouds away. On my way to where the air is sweet.,50,Vancouver,"library, guerilla art",,45,patrick_tucker
embroided street art,I never thought I could feel so free. Flying away on a wing and a prayer. Who could it be? Believe it or not its just me. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong,40,Vancouver,"street art, art, guerilla art",https://www.pinterest.ca/pin/40602834111076671/,31,TamTam
"make toys, release into city",Maybe you and me were never meant to be. But baby think of me once in awhile. I'm at WKRP in Cincinnati. It's a beautiful day in this neighborhood a beautiful day for a neighbor. Would you be mine? Could you be mine? Its a neighborly day in this beautywood a neighborly day for a beauty. Would you be mine?,60,Vancouver,"guerilla art, toys, kids",https://www.pinterest.ca/pin/40602834110019098/,56,Rosaz
be batman for a day,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,80,Victoria,kids,,72,david_chan
Giving tree,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,90,Vancouver,toys,,83,ben_jargon
Friendly Parking Meters,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,60,Toronto,"art, guerrilla art",https://www.pinterest.ca/pin/207165651580015820/,53,baller
sidewalk art,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,100,Victoria,"art, guerrilla art, urban art",,91,pizzaGuy
friendly notes,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,10,Toronto,"strangers, notes, art",,9,santaMan
pizza party,Straightnin' the curves. Flatnin' the hills Someday the mountain might get ‘em but the law never will. Were gonna do it. Give us any chance well take it. Give us any rule we'll break it. We're gonna make our dreams come true.,100,Vancouver,"food, pizza, party",,97,pichaPicha
handmade gifts for strangers,Come and play. Everything's A-OK. Friendly neighbors there that's where we meet. Can you tell me how to get how to get to Sesame Street. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant!,25,Victoria,random act of kindness,,17,willy
leave a big tip for waiter,Rockin' and rollin' all week long. They were four men living all together yet they were all alone. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant. Sunny Days sweepin' the clouds away. On my way to where the air is sweet.,100,Montreal,random act of kindness,,95,patrick_tucker
crossguard gift,I never thought I could feel so free. Flying away on a wing and a prayer. Who could it be? Believe it or not its just me. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong,80,Vancouver,gift ,,78,TamTam
refugee family welcome package,Maybe you and me were never meant to be. But baby think of me once in awhile. I'm at WKRP in Cincinnati. It's a beautiful day in this neighborhood a beautiful day for a neighbor. Would you be mine? Could you be mine? Its a neighborly day in this beautywood a neighborly day for a beauty. Would you be mine?,100,Vancouver,"refugee, family, gift",,91,Rosaz
random gifter,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,30,Toronto,"gift, random act of kindness",,22,ben_jargon
leave 10 dollar in vending machine,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,10,Victoria,random act of kindness,,4,baller
pay for a strangers gas,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,40,Montreal,"pay it forward, random act of kindess",,38,pizzaGuy
gatorade for people on street,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,30,Toronto,random act of kindness,,21,santaMan
flowers for patients at hospital,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,60,Richmond,"flowers, hospital",,57,ben_jargon
mail ready envelops and greeting cards,Straightnin' the curves. Flatnin' the hills Someday the mountain might get ‘em but the law never will. Were gonna do it. Give us any chance well take it. Give us any rule we'll break it. We're gonna make our dreams come true.,30,Calgary,greeting cards,,22,baller
anonymous notes for strangers,Come and play. Everything's A-OK. Friendly neighbors there that's where we meet. Can you tell me how to get how to get to Sesame Street. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant!,20,Montreal,"art, urban art, strangers",,10,pizzaGuy
snacks for emergency room,Rockin' and rollin' all week long. They were four men living all together yet they were all alone. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant. Sunny Days sweepin' the clouds away. On my way to where the air is sweet.,40,Vancouver,"food, hospital",,38,santaMan
community garden tools,I never thought I could feel so free. Flying away on a wing and a prayer. Who could it be? Believe it or not its just me. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong,90,Vancouver,"community garden, food",,86,ben_jargon
marathon run for FoodBank charity,Maybe you and me were never meant to be. But baby think of me once in awhile. I'm at WKRP in Cincinnati. It's a beautiful day in this neighborhood a beautiful day for a neighbor. Would you be mine? Could you be mine? Its a neighborly day in this beautywood a neighborly day for a beauty. Would you be mine?,100,Vancouver,"foodbank, marathon",,96,baller
Easter Egg hunt,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,90,Richmond,"candy, kids",,85,pizzaGuy
Clean up Douglas park,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,40,Montreal,environment,,31,ben_jargon
Clean up trout lake,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,30,Toronto,environment,,21,baller
create birdhouses in Strathcona Park,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,60,Vancouver,environment,,59,pizzaGuy
plant native flowers along bike path,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,30,Calgary,environment,,21,ben_jargon
adopt acre of rain forest,Straightnin' the curves. Flatnin' the hills Someday the mountain might get ‘em but the law never will. Were gonna do it. Give us any chance well take it. Give us any rule we'll break it. We're gonna make our dreams come true.,100,Vancouver,environment,,95,baller
donating 50 cans of food,Come and play. Everything's A-OK. Friendly neighbors there that's where we meet. Can you tell me how to get how to get to Sesame Street. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant!,40,Toronto,food,,31,pizzaGuy
first aid kit for homeless shelter,Rockin' and rollin' all week long. They were four men living all together yet they were all alone. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant. Sunny Days sweepin' the clouds away. On my way to where the air is sweet.,30,Richmond,"health, homeless",,26,baller
sports gear for team,I never thought I could feel so free. Flying away on a wing and a prayer. Who could it be? Believe it or not its just me. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong,100,Calgary,sports,,98,pizzaGuy
paint park benches at Dude Chilling Park,Maybe you and me were never meant to be. But baby think of me once in awhile. I'm at WKRP in Cincinnati. It's a beautiful day in this neighborhood a beautiful day for a neighbor. Would you be mine? Could you be mine? Its a neighborly day in this beautywood a neighborly day for a beauty. Would you be mine?,80,Vancouver,"park, public spaces",,75,santaMan
plant flowers in park,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,23,Montreal,"environment, park, public spaces",,22,pichaPicha
clean up vacant lot,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,40,Vancouver,"clean, environment",,38,willy
speaker phone for community protest,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,40,Richmond,activism,,37,patrick_tucker
free magic show space rental,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,120,Montreal,"fundraiser, rental, magic show, kids",,118,willy
give christmas gift to seniors,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,100,Toronto,"fundraiser, seniors,",,97,patrick_tucker
